name	gender
adi	female
jan amos	female
frances hodgson	male
mildred	male
gustaf	male
elis	female
roine	female
elia	female
dagmar	male
renne	female
abrahamus georgii	male
efr	male
arvidus christiani	male
honorž de	male
fredericus	male
toini	male
dikken	male
bernardin de	male
alvilde	male
gotthilf heinrich von	female
helge	female
helle	male
ingemund	female
lžon de	male
aladar	female
alb lindsay von	male
alfhild	male
ape	male
armi	male
eine	male
gyula	female
heddi	male
hedvig const fred von	male
hedvig von	male
heine	male
henr r	male
ioann	female
jadwiga	male
joachimus bartholdi	male
jutte	male
kaarl	female
kaino w	male
klaudie	male
line	male
ludvig de	male
m:me ferdinand	female
olaug marie	male
wilh carol	male
yngve	female
