catalog_index	catalog	author	short	title	town	from	till	dissertation	cluster	cluster_idx	remove
119	fennica	Bilmark, Johannes	Dissertatio academica de disciplina morali 	Dissertatio academica de disciplina morali veterum Hyperboreorum, cujus partem priorem, suffrag. ampl. fac. phil. in Reg. ad Auram Academia, praeside mag. Johanne Bilmark, hist. et phil. pract. prof. reg. et ord. Publice ventilandam sistit Joannes Haq. Lenaesius, Angermannus. In audit. maj. die XIX. April. MDCCLXIV. h. a. m. c	Turku	1764	NA	Diss.	2	1	
184702	kungliga	Bilmark, Johan	Dissertatio academica de disciplina morali 	Dissertatio academica de disciplina morali veterum Hyperboreorum	Turku	1764	NA		2	2	potentially remove
273	fennica	Bilmark, Johannes	En academisk afhandling om yppighetens 	En academisk afhandling om yppighetens värkan på folkmängden i et samhälle, med vederbörandes samtycke, under histor. och phil. pract. professorens, herr mag. Johan Bilmarks inseende til allmän granskning framgifven af Jacob Callmeijer, Österbotninge. I Åbo Academiens öfre lärosal den 7 junii 1777. p. v. t. f. m	Turku	1777	NA	Diss.	8	1	
184684	kungliga	Bilmark, Johan	En academisk afhandling om yppighetens 	En academisk afhandling om yppighetens värkan på folkmängden i et samhälle[Diss.Resp.Jacob callmeijer.	Turku	1777	NA		8	2	potentially remove
997	fennica	Kalm, Pehr	Nyttan utaf afskaffandet af de 	Nyttan utaf afskaffandet af de öfwerflödiga helgedagar. Med phil. facult. samtycke wid Kongl. Acad. i Åbo under theol. doctorens, oecon. professorens, ledamotens af Kongl. Vasa Orden, Kongl. Swenska Wett. Acad. Kongl. Wett. Societ. i Upsala, samt Kongl. Swenska Patriot. Sällskapet herr Pehr Kalms inseende utgifwen och förswarad af Henric Montin philos. candidat, och g. o. t. I Åbo Acad. öfre läro-sal. Den 26 Junii f. m. 1775	Turku	1775	NA	Diss.	45	1	
234762	kungliga	Kalm, Pehr	Nyttan utaf afskaffandet af de 	Nyttan utaf afskaffandet af de öfverflödiga helgedagar	Turku	1775	NA		45	2	potentially remove
3063	fennica	Haartman, Johannes Johannis	Om pesten; til disputations ämne 	Om pesten; til disputations ämne för stipendiarierne, författadt, och uti Åbo Acad. försvaradt af medicinae professoren doct. J. J. Haartman, och medicinae studiosus Emanuel Elfvenberg, den [ ] februarii 1772	Turku	1772	NA	Diss.	133	1	
117751	kungliga	Haartman, Johan	Om pesten; til disputations ämne 	Om pesten; til disputations ämne för stipendiarierne, författadt, och uti Åbo acad. försvaradt af ... J.J. Haartman, och ... Emanuel Elfvenberg, den februarii 1772. =(Rubr.)= (Åbo, tryckt hos Johan C. Frenckell.	Turku	1772	NA		133	2	potentially remove
16686	fennica	Grimsteen, Jonas Simonis	Discursus chorographicus de terris Hyperboreis 	Discursus chorographicus de terris Hyperboreis seu polo arctico vicinis, quem, ex C. Julii Solini polyhist. cap. XXI, verbis: Fabula erat de Hyperboreis ... sub moderamine ... Caroli Lithman, ... nec non venerandi consistorij approbatione, in florente Gymnasio Stregnesiano, die 26. Maij anni 1680, aequo bonorum examini ventilandum obtulit Jonas Grimsteen, respondente Andrea Bolino	Strängnäs	1680	NA	Diss.	502	1	potentially remove
378223	kungliga	Grimsten, Jonas Simonis	Discursus chorographicus de terris Hyperboreis 	Discursus chorographicus de terris Hyperboreis seu polo arctico vicinis, quem, ex C. Julii Solini polyhist. cap. XXI, verbis: Fabula erat de Hyperboreis ... sub moderamine Caroli Lithman ... in ... Gymnasio Stregnesiano ... obtulit Jonas Grimsteen/ Respondent Andrea Bolino	Strängnäs	1680	NA		502	2	
51356	fennica	Franze´n, Frans Michael	Specimen academicum de optima historiam 	Specimen academicum de optima historiam universalem, praesertim antiquam, proponendi methodo. Quod cons. ampl. fac. phil. Reg. Acad. Ab. praeside mag. Franc. Mich. Franze´n, mor. [et] hist. prof. reg. [et] ord. Pro gradu philosophico publicae subjicit censurae Jonas Lindström, stip. Bilm. Angermannus. In Schola cathedr. die 19 Junii 1806. h. a. m. s	Turku	1806	NA	Diss.	516	1	
212961	kungliga	Franzén, Frans Michael	Specimen academicum de optima historiam 	Specimen academicum de optima historiam universalem, præsertim antiquam, proponendi methodo	Turku	1806	NA		516	2	potentially remove
64695	fennica	Tengström, Johan Jakob	Dissertatio academica de viris in 	Dissertatio academica de viris in Fennia peritia litterarum Graecarum claris, cujus partem primam cons. fac. philos. Imp. Acad. Aboe¨ns. Publico examini offerunt Johan. Jac. Tengström, e. o. philosophiae adjunctus, e. o. amanuensis bibliothecae, et Jacobus Gustavus Chydenius, Ostrobotniensis. In auditorio medico die III Decembris MDCCCXIV. h. a. m. consv	Turku	1814	NA	Diss.	576	1	
64696	fennica	Tengström, Johan Jakob	Dissertatio academica de viris in 	Dissertatio academica de viris in Fennia peritia litterarum Graecarum claris, cujus partem secundam cons. fac. philos. Imp. Acad. Aboe¨ns. Publico examini offerunt Johan. Jac. Tengström, e. o. philosophiae adjunctus, e. o. amanuensis bibliothecae, et Johannes Gabriel Bonsdorff, Wirburgensis. [!] In auditorio medico die VII Decembris MDCCCXIV. h. a. m. consv	Turku	1814	NA	Diss.	576	2	
316448	kungliga	Tengström, Johan Jacob	Dissertatio academica de viris in 	Dissertatio academica de viris in Fennia peritia litterarum Graecorum claris	Turku	1814	1816		576	3	potentially remove
