name	count
Hancock Mi	210
Lahti	160
Fitchburg Ma	133
Käkisalmi	62
Lappeenranta	56
Kaleva Mi	50
Duluth MN	40
Calumet Mi	35
Heinola	33
Lapua	31
Port Arthur On	28
Ashtabula Oh	28
Astoria Or	25
Parkano	20
Kaskinen	18
Turenki	16
Superior Wi	14
Karjaa	14
Ironwood Mi	13
Iisalmi	13
Sairala	12
New York Mills Mn	10
Laihia	10
Worcester Ma	8
Terijoki	8
Isokyrö	8
Quincy Ma	7
Ishpeming Mi	7
Eura	7
Vilnius	6
Piikkiö	6
Isafjördur	6
Visingsborg	5
Tromsö	5
Nytorp	5
Jämsä	5
Haapajärvi	5
Archangelsk	5
Tyrvää	4
Seinäjoki	4
Seattle WA	4
Rovaniemi	4
Odessa	4
Laitila	4
Kuortane	4
Karjalohja	4
Espoo	4
Sääksmäki	3
Parikkala	3
Kharkiv	3
Kauvatsa	3
Kainuu	3
Juva	3
Haunia	3
Cincinnati Oh	3
Żary	2
Ypäjä	2
Ylistaro	2
Virolahti	2
Viljandi	2
Viitasaari	2
Vicenza	2
Urjala	2
Trieste	2
Suomussalmi	2
Stockton	2
Smithville Mn	2
Sipoo	2
Saarijärvi	2
Red Jacket Mi	2
Pihlava	2
Petäjävesi	2
Närpiö	2
Naantali	2
Mustiala	2
Mustasaari	2
Montreal	2
Minneapolis Mn	2
Koivisto	2
Kirkkonummi	2
Kiiminki	2
Kazan	2
Karstula	2
Karhula	2
Janakkala	2
Jaakkima	2
Ilmajoki	2
Ikaalinen	2
Huopalahti	2
Heinävesi	2
Harbor Oh	2
Hämeenkyrö	2
Fürth	2
Freiburg im Breisgau	2
Cleveland Oh	2
Chisholm MN	2
Almena Wi	2
Aabenraa	2
Ylivieska	1
Ylimarkku	1
Weida	1
Virginia Mn	1
Vantaa	1
Vammala	1
Valkjärvi	1
Valamo	1
Vainikkala	1
Uusikirkko	1
Tyrnävä	1
Tuusula	1
Turtle Lake Wi	1
Tsing-shin	1
Torgelow	1
Tomsk	1
Toholampi	1
Tervonsalmi	1
Terni	1
Telč	1
Tammela	1
Taipalsaari	1
Suonenjoki	1
Sudbury On	1
St Louis Kaunti Mi	1
Smolensk	1
Simola	1
Siena	1
Sauvo	1
Sarvilahti	1
Sandstone Mi	1
Sakkola	1
Säkkijärvi	1
Rock Springs WY	1
Red Lodge MT	1
Ravenna	1
Rautio	1
Rautalampi	1
Rantasalmi	1
Raisio	1
Räisälä	1
Rääkkylä	1
Purleigh	1
Portland Or	1
Pistoia	1
Pinjainen	1
Pieksämäki	1
Perkjärvi	1
Perho	1
Pännäinen	1
Paimio	1
Oulainen	1
Otava	1
Orismala	1
Orimattila	1
Oradea	1
Oniipa	1
Nurmijärvi	1
Nummela	1
Noormarkku	1
Nokia	1
Nizza	1
Nanaimo BC	1
Milwaukee Wi	1
Messina	1
Marttila	1
Mäntyharju	1
Mänttä-Vilppula	1
Macon	1
Maaninka	1
Loimijoki	1
Loimaa	1
Lohtaja	1
Liverpool	1
Litoměrice	1
Liepaja	1
Letchworth	1
Lammi	1
Laihiala	1
La Chapelle-Montligeon	1
Kyrö	1
Kymenlaakso	1
Kylmäkoski	1
Kuusankoski	1
Kurkijoki	1
Kokemäki	1
Koivulahti	1
Kodisjoki	1
Kivennapa	1
Kirvu	1
Kirov	1
Kirchhain	1
Kettuvaara	1
Keltto	1
Kausala	1
Kauhajoki	1
Kaprio	1
Kallislahti	1
Jalasjärvi	1
Jacobson Mi	1
Jääski	1
Inkoo	1
Inkeri	1
Inari	1
Impilahti	1
Imatra	1
Hvitträsk	1
Hull	1
Houghton Mi	1
Hirvensalmi	1
Hinnerjoki	1
Heinäjoki	1
Harjavalta	1
Hanna WY	1
Haderslev	1
Gutersloh	1
Godby	1
Exeter	1
Eveleth Mi	1
Ely Mi	1
Dieren	1
Cluj-Napoca	1
Clear Creek UT	1
Calcutta	1
Brisbane	1
Brändö	1
Björkboda	1
Birmingham	1
Arezzo	1
Anttola	1
Ancona	1
Amersfoort	1
Alfend	1
