corporate	Count
J. C. Frenckell ja poika (kirjapaino, Helsinki, 1828-1900)	3
Korsholms jordbruksskola.	2
Suomi (suuriruhtinaskunta).	2
Winter, Johan (kirjapaino, Turku, 1669-1705)	2
Beuermanns musikhandel.;Pauls musikhandel.	1
Hjeltska bokhandeln.;Lilljan kirjakauppa.;G. W. Wilénin kirjainkustannustoimisto.	1
J. C. Frenckells bokhandel.;Frenckell & sons bokhandel (Turku);Frenckell & sons bokhandel (Helsinki);Hinrichs'schen Buchhandlung.	1
Frenckell & sons bokhandel (Helsinki);Frenckell & sons bokhandel (Turku);Hinrichs'schen Buchhandlung.	1
Wennlundska boktryckeriet.;Lindh, Nils Magnus (kirjapaino, Örebro, 1798-1835);Waseniuska bokhandeln.;Ecksteinska boktryckeriet.;Wiborg & comp.;Collin & comp.;Librairie d'Amyot.;Hinrichs'schen Buchhandlung.;Holms bokhandel.	1
G. W. Edlund (kustannusyhtiö);Frenckell & sons bokhandel (Helsinki);Sederholm & co bokhandel.;Öhmanska bokhandeln (Helsinki);Waseniuska bokhandeln.	1
Lånbiblioteket i Brahestad.;Lånebiblioteket i Kristinestad.;Kuopion kaupungin kansankirjasto.;Läsebibliotheket i Nyslott.;Savonlinnan vapaaehtoinen palokunta.;Svenska lånebiblioteket i Nystad.;Folkbiblioteket i Nystad.;Rauman lainakirjasto.;Lånebiblioteket i S:t Michel.;Pietarin suomalainen Pyhän Marian seurakunta.;Lånebiblioteket i Uleåborg.;Uudenkaupungin suomalainen lainakirjasto.;Vaasan luku-kirjasto.;Stadsbiblioteket i Vasa.	1
Lån- och läse-bibliotheket i Åbo.;Läse- och låne-bibliotheket i Åbo.;Lånebibliotheket i Åbo.;Lånbibliotheket i Åbo.;Turun sivistysseura.	1
Läse-sällskapet i Helsingfors (1819-1829);Låne-biblioteket i Helsingfors (1821-n. 1838);Läse-sällskapet i Helsingfors (1832-n. 1846);Låne-biblioteket i Helsingfors (1829-n. 1838);Lånebiblioteket i Helsingfors (1847-1850);Lånebiblioteket i Helsingfors (1856-1890);Låne-biblioteket i Helsingfors (1858-n. 1862)	1
Satakunnan museo.	1
Suomen matkailijayhdistys.	1
Helsingfors stads folkbibliotek.	1
Folkbiblioteket i Åbo.	1
Kuopio svenska samskola.	1
Nuorten naisten kristillinen yhdistys.	1
Helsingfors frimärkssamlare förening.	1
Suomen kirjanpainajayhdistys.	1
Suomen naisten voimisteluliitto.	1
Suomen kennelklubi.	1
Suomen yleinen käsiteollisuusyhdistys.	1
Suomen merimieslähetysseura.	1
Svenska klassiska lyceum i Wiborg.	1
Raittiuden ystävät.	1
Wasa fruntimmersskola.	1
Realskolan i Helsingfors.	1
Real- och elementarskolan i Lovisa.;Elementarskolan i Lovisa.	1
Wasa läns landtmäteriförening.	1
Svenska reallyceum i Helsingfors.	1
Lyceum i Åbo.;Elementarskolan i Björneborg.	1
Klassiska lyceum i Wasa.;Elementarskolan i Gamlakarleby.;Elementarskolan i Kristinestad.	1
Mikkelin lyseo.	1
Lyceum i Borgå.	1
Svenska fruntimmersskolan Helsingfors.	1
Privata svenska flickskolan i Helsingfors.	1
Privata reallyceum i Fredrikshamn.	1
Polyteknillinen opisto.	1
Nya svenska samskolan (Helsinki)	1
Nya svenska läroverket i Helsingfors.	1
Tuorlan maanviljelyskoulu.	1
Kotkan pursiseura.	1
Viipurin taiteenystävät.	1
Viipurin kaupunki.	1
Svenska litteratursällskapet i Finland.	1
Finlands allmänna svenska folkskollärare- och lärarinneförening.	1
Kansanvalistusseura.	1
Suomen metsästysyhdistys.	1
Porin kaupunki.	1
Säästöpankkien tarkastaja.	1
Skandinaviska välgörenhetsföreningen i St. Petersburg.	1
Viipurin rahatoimikamari.	1
Suomen kauppavaltuuskunnan keskusvaliokunta.	1
Folkhögskolan Breidablick.	1
Viipurin läänin maatalouskomisioni.	1
Airisto segelsällskap.;Helsingfors gymnastikklubb.;Helsingfors roddklubb.;Helsingfors segelsällskap.;Helsingfors velocipedklubb.;Nyländska jaktklubben.;Wasa segelförening.;Wiborgs läns segelförening.;Ylioppilas-voimistelijat.;Åbo velocipedklubb.	1
Horrn, Johan Laurentius I (kirjapaino, Tukholma, 1717-1741)	1
Hantsch, Georg (kirjapaino, Tukholma, 1665-1668)	1
Wald, Peder Eriksson (kirjapaino, Turku, 1642-1653)	1
