Name	Count
Total count (na.rm TRUE): 	68182
Finland	59294
Sweden	 5085
Russia	 1218
Germany	  766
USA	  649
Estonia	  287
England	  186
France	  159
Denmark	  141
Netherlands	   85
Latvia	   49
Norway	   48
Italy	   38
Canada	   34
Hungary	   28
Poland	   25
Austria	   21
Iceland	   13
Switzerland	   13
Belgium	    8
Spain	    7
Ukraine	    7
Lithuania	    6
Copenhagen	    3
Czech Republic	    3
Romania	    2
Argentina	    1
Australia	    1
China	    1
India	    1
Namibia	    1
Portugal	    1
Scotland	    1
