university|synonym
Turun akatemia|Turku
Turku|Turku
Helsingin yliopisto|Helsinki
Upsala|Uppsala
Uppsala|Uppsala
Tartto|Tartto
Helsingfors universitet|Helsinki
Suomen Keisarillinen Aleksanterin yliopisto|Helsinki
Rostock|Rostock
Wittenberg|Wittenberg
Lund|Lund
Universität Leipzig|Leipzig
Jena|Jena
Pärnu|Pärnu
Greifswald|Greifswald
Suomen keisarillinen Aleksanterin yliopisto|Helsinki
Giessen|Giessen
Helsinki|Helsinki
Kokkola|Kokkola
Suomen yliopisto|Helsinki
1700|NA
Die Kaiserl. Alexander-Universität in Finnland|Helsinki
Göttingen|Göttingen
Leiden|Leiden
Marburg|Marburg
Uppsala universitet|Uppsala
Uppsala universität|Uppsala
Viipuri|Viipuri
Keisarillinen Suomen Aleksanterin yliopisto|Helsinki
Kejserliga Aleksanders-Universitetet i Finland|Helsinki
Kejserliga Alexanders-universitetet i Finland|Helsinki
Kiel|Kiel
Leipzig|Leipzig
Suomen Keisarillinen Aleksanterin-Yliopisto|Helsinki
Suomen keisarillinen Aleksanterin-yliopisto|Helsinki
Universität Bern|Bern
Universität Zu¨rich|Zürich
Basel Universität|Basel
Bern|Bern
Dorpat|Tartto
Friedrich-Wilhelms-Universität zu Berlin|Berliini
Gymnasium of Strängnäs|Strängnäs
Göteborgs högskola|Göteborg
HY|Helsinki
Helsingfors : Kejserliga Alexanders-Universitetet i Finland|Helsinki
Helsingfors Universität|Helsinki
Helsinki : Kaiserl. Alexanders-Universität in Finland|Helsinki
Helsinki : Keisarillinen Aleksanterin yliopisto|Helsinki
Helsinki : Suomen yliopisto [Helsingin yliopisto|Helsinki
Jena universitet|Jena
Kaiserl. Alexander-Universität in Finland|Helsinki
Kaiserl. Alexanders-Universität|Helsinki
Kaiserl. Alexanders-Universität in Helsingfors|Helsinki
Keisarillinen Aleksanterin-Yliopisto|Helsinki
Kejserliga Alexanders-Universitet|Helsinki
Kejserliga Alexanders-Universitetet i Helsingfors|Helsinki
Kejserliga Alexanders-universitet|Helsinki
Leipzig : Universität Leipzig|Leipzig
Ludwigs-Universität|Freiburg
Lund : Lunds universitet|Lund
Lunds universitet|Lund
Narva|Narva
Porvoo|Porvoo
Strasbourg|Strasbourg
Suomen Aleksanderin-Yliopisto|Helsinki
Suomen Aleksanterin-Yliopisto|Helsinki
Suomen Keisarillinen Aleksanteri-Yliopisto|Helsinki
Suomen keisarillinen Aleksanterin - yliopisto|Helsinki
Suomen yliopisto [Helsingin yliopisto|Helsinki
Technischen Hochschule Hannover|Hannover
Teknillinen korkeakoulu|TKK
Tekniska högskolan i Finland|TKK
Tukholma|Tukholma
Turkun akatemia|Turku
Turun akatemia,;Turun akatemia|Turku
Tu^bingen' : Tu^bingenski`j universitet|Tübingen
Universitetet i Helsingfors|Helsinki
Universite´ de Montpellier|Montpellier
Universite´ de Paris|Pariisi
Universite´ de Tubingen|Tübingen
Universität Jena|Jena
Universität Königsberg|Königsberg
Universität Tu¨bingen|Tübingen
Upsala : Upsalan yliopisto|Uppsala
Upsala universitet|Uppsala
Wittenbergae : Academia Wittenbergensis|Wittenberg
kejserliga Alexanders-universitetet i Helsingfors|Helsinki
